Accession	1000 terminals	500 terminals	250 terminals	125 terminals	75 terminals
RS_GCF_000144915.1	YES	YES	YES	YES	YES
RS_GCF_000147875.1	YES	YES	YES	YES	YES
RS_GCF_000148385.1	YES	NO	NO	NO	NO
RS_GCF_000151105.2	YES	YES	YES	YES	NO
RS_GCF_000151205.2	YES	YES	NO	NO	NO
RS_GCF_000151225.1	YES	NO	NO	NO	NO
RS_GCF_000151245.1	YES	NO	NO	NO	NO
RS_GCF_000166095.1	YES	NO	NO	NO	NO
RS_GCF_000172995.2	YES	YES	NO	NO	NO
RS_GCF_000175555.1	YES	YES	NO	NO	NO
RS_GCF_000179575.2	YES	NO	NO	NO	NO
RS_GCF_000186365.1	YES	YES	YES	NO	NO
RS_GCF_000187225.1	YES	NO	NO	NO	NO
RS_GCF_000189555.1	YES	YES	NO	NO	NO
RS_GCF_000189795.1	YES	NO	NO	NO	NO
RS_GCF_000189815.1	YES	NO	NO	NO	NO
RS_GCF_000189835.1	YES	NO	NO	NO	NO
RS_GCF_000189895.1	YES	YES	NO	NO	NO
RS_GCF_000189915.1	YES	NO	NO	NO	NO
RS_GCF_000189935.1	YES	NO	NO	NO	NO
RS_GCF_000189955.1	YES	YES	NO	NO	NO
RS_GCF_000189975.1	YES	NO	NO	NO	NO
RS_GCF_000189995.1	YES	NO	NO	NO	NO
RS_GCF_000190035.1	YES	NO	NO	NO	NO
RS_GCF_000190075.1	YES	NO	NO	NO	NO
RS_GCF_000190095.1	YES	YES	NO	NO	NO
RS_GCF_000190115.1	YES	YES	YES	NO	NO
RS_GCF_000190135.1	YES	NO	NO	NO	NO
RS_GCF_000190155.1	YES	NO	NO	NO	NO
RS_GCF_000190175.1	YES	NO	NO	NO	NO
RS_GCF_000190315.1	YES	YES	YES	YES	YES
RS_GCF_000194625.1	YES	YES	YES	NO	NO
RS_GCF_000195895.1	YES	NO	NO	NO	NO
RS_GCF_000195935.2	YES	NO	NO	NO	NO
RS_GCF_000196655.1	YES	YES	YES	YES	NO
RS_GCF_000196895.1	YES	NO	NO	NO	NO
RS_GCF_000204415.1	YES	NO	NO	NO	NO
RS_GCF_000204925.1	YES	YES	NO	NO	NO
RS_GCF_000211475.1	YES	YES	YES	NO	NO
RS_GCF_000213215.1	YES	NO	NO	NO	NO
RS_GCF_000214415.1	YES	YES	NO	NO	NO
RS_GCF_000215915.2	YES	NO	NO	NO	NO
RS_GCF_000215995.1	YES	YES	NO	NO	NO
RS_GCF_000217715.1	YES	NO	NO	NO	NO
RS_GCF_000217995.1	YES	YES	YES	NO	NO
RS_GCF_000220175.1	YES	NO	NO	NO	NO
RS_GCF_000220645.1	YES	YES	NO	NO	NO
RS_GCF_000221185.1	YES	NO	NO	NO	NO
RS_GCF_000224475.1	YES	YES	YES	YES	YES
RS_GCF_000226975.2	YES	NO	NO	NO	NO
RS_GCF_000230715.2	YES	NO	NO	NO	NO
RS_GCF_000230735.2	YES	YES	YES	YES	YES
RS_GCF_000231015.2	YES	YES	NO	NO	NO
RS_GCF_000235565.1	YES	NO	NO	NO	NO
RS_GCF_000235685.2	YES	NO	NO	NO	NO
RS_GCF_000237865.1	YES	NO	NO	NO	NO
RS_GCF_000243255.1	YES	NO	NO	NO	NO
RS_GCF_000243315.1	YES	YES	YES	YES	YES
RS_GCF_000243455.1	YES	NO	NO	NO	NO
RS_GCF_000245095.1	YES	YES	NO	NO	NO
RS_GCF_000245115.1	YES	YES	NO	NO	NO
RS_GCF_000245135.1	YES	NO	NO	NO	NO
RS_GCF_000245155.1	YES	NO	NO	NO	NO
RS_GCF_000245175.1	YES	YES	NO	NO	NO
RS_GCF_000245195.1	YES	YES	NO	NO	NO
RS_GCF_000245235.1	YES	YES	NO	NO	NO
RS_GCF_000245255.1	YES	YES	NO	NO	NO
RS_GCF_000245275.1	YES	NO	NO	NO	NO
RS_GCF_000246985.2	YES	NO	NO	NO	NO
RS_GCF_000251105.1	YES	NO	NO	NO	NO
RS_GCF_000258515.1	YES	NO	NO	NO	NO
RS_GCF_000263735.1	YES	YES	NO	NO	NO
RS_GCF_000264495.1	YES	NO	NO	NO	NO
RS_GCF_000265525.1	YES	NO	NO	NO	NO
RS_GCF_000275605.1	YES	NO	NO	NO	NO
RS_GCF_000275865.1	YES	NO	NO	NO	NO
RS_GCF_000281695.1	YES	YES	NO	NO	NO
RS_GCF_000302455.1	YES	NO	NO	NO	NO
RS_GCF_000304355.2	YES	NO	NO	NO	NO
RS_GCF_000306725.1	YES	YES	NO	NO	NO
RS_GCF_000306765.2	YES	YES	NO	NO	NO
RS_GCF_000317795.1	YES	YES	NO	NO	NO
RS_GCF_000320505.1	YES	YES	NO	NO	NO
RS_GCF_000327485.1	YES	YES	NO	NO	NO
RS_GCF_000328665.1	YES	NO	NO	NO	NO
RS_GCF_000328685.1	YES	YES	YES	NO	NO
RS_GCF_000334895.1	YES	YES	NO	NO	NO
RS_GCF_000336615.1	YES	YES	NO	NO	NO
RS_GCF_000336635.1	YES	YES	YES	NO	NO
RS_GCF_000336655.1	YES	NO	NO	NO	NO
RS_GCF_000336675.1	YES	YES	NO	NO	NO
RS_GCF_000336715.1	YES	YES	NO	NO	NO
RS_GCF_000336735.1	YES	YES	YES	YES	YES
RS_GCF_000336755.1	YES	NO	NO	NO	NO
RS_GCF_000336775.1	YES	NO	NO	NO	NO
RS_GCF_000336795.1	YES	NO	NO	NO	NO
RS_GCF_000336835.1	YES	NO	NO	NO	NO
RS_GCF_000336855.1	YES	NO	NO	NO	NO
RS_GCF_000336875.1	YES	NO	NO	NO	NO
RS_GCF_000336895.1	YES	NO	NO	NO	NO
RS_GCF_000336915.1	YES	NO	NO	NO	NO
RS_GCF_000336935.1	YES	YES	NO	NO	NO
RS_GCF_000336955.1	YES	YES	YES	NO	NO
RS_GCF_000336975.1	YES	NO	NO	NO	NO
RS_GCF_000336995.1	YES	NO	NO	NO	NO
RS_GCF_000337015.1	YES	NO	NO	NO	NO
RS_GCF_000337035.1	YES	NO	NO	NO	NO
RS_GCF_000337055.1	YES	NO	NO	NO	NO
RS_GCF_000337075.1	YES	YES	YES	NO	NO
RS_GCF_000337095.1	YES	YES	YES	YES	YES
RS_GCF_000337115.1	YES	YES	YES	YES	NO
RS_GCF_000337135.1	YES	NO	NO	NO	NO
RS_GCF_000337155.1	YES	NO	NO	NO	NO
RS_GCF_000337175.1	YES	YES	YES	NO	NO
RS_GCF_000337195.1	YES	YES	NO	NO	NO
RS_GCF_000337235.1	YES	NO	NO	NO	NO
RS_GCF_000337255.1	YES	NO	NO	NO	NO
RS_GCF_000337275.1	YES	NO	NO	NO	NO
RS_GCF_000337295.1	YES	YES	YES	YES	YES
RS_GCF_000337315.1	YES	NO	NO	NO	NO
RS_GCF_000337335.1	YES	NO	NO	NO	NO
RS_GCF_000337375.1	YES	NO	NO	NO	NO
RS_GCF_000337395.1	YES	NO	NO	NO	NO
RS_GCF_000337415.1	YES	YES	NO	NO	NO
RS_GCF_000337435.1	YES	NO	NO	NO	NO
RS_GCF_000337455.1	YES	NO	NO	NO	NO
RS_GCF_000337475.1	YES	YES	YES	NO	NO
RS_GCF_000337495.1	YES	NO	NO	NO	NO
RS_GCF_000337515.1	YES	YES	YES	NO	NO
RS_GCF_000337535.1	YES	NO	NO	NO	NO
RS_GCF_000337555.1	YES	YES	YES	YES	NO
RS_GCF_000337595.1	YES	YES	YES	NO	NO
RS_GCF_000337615.1	YES	NO	NO	NO	NO
RS_GCF_000337635.1	YES	NO	NO	NO	NO
RS_GCF_000337655.1	YES	YES	NO	NO	NO
RS_GCF_000337675.1	YES	NO	NO	NO	NO
RS_GCF_000337695.1	YES	NO	NO	NO	NO
RS_GCF_000337715.1	YES	NO	NO	NO	NO
RS_GCF_000337735.1	YES	NO	NO	NO	NO
RS_GCF_000337755.1	YES	YES	YES	YES	YES
RS_GCF_000337775.1	YES	YES	YES	NO	NO
RS_GCF_000337795.1	YES	YES	YES	YES	YES
RS_GCF_000337815.1	YES	NO	NO	NO	NO
RS_GCF_000337835.1	YES	YES	YES	YES	YES
RS_GCF_000337855.1	YES	YES	YES	YES	YES
RS_GCF_000337875.1	YES	YES	YES	NO	NO
RS_GCF_000337895.1	YES	YES	NO	NO	NO
RS_GCF_000337915.1	YES	YES	NO	NO	NO
RS_GCF_000338775.1	YES	NO	NO	NO	NO
RS_GCF_000340315.1	YES	NO	NO	NO	NO
RS_GCF_000364745.1	YES	NO	NO	NO	NO
RS_GCF_000371805.1	YES	YES	NO	NO	NO
RS_GCF_000376445.1	YES	NO	NO	NO	NO
RS_GCF_000376965.1	YES	YES	YES	NO	NO
RS_GCF_000379085.1	YES	NO	NO	NO	NO
RS_GCF_000383975.1	YES	NO	NO	NO	NO
RS_GCF_000385565.1	YES	YES	YES	NO	NO
RS_GCF_000403645.1	YES	NO	NO	NO	NO
